texto,categoria
Reserva una mesa en un restaurante,fuera_dominio
Dime cómo llegar a la moneda,navegacion
¿De qué material es el cofre?,detalle_objeto
Acércame a la alfombra,navegacion
¿Cuánto me falta para llegar a el mapa?,localizacion_objeto
Como llego al botón,navegacion
Dime qué objetos puedo agarrar sin moverme,objetos_cercanos
Repite lo último,consulta_general
Guíame hasta la caja de madera,navegacion
Indícame el camino hasta el escudo,navegacion
¿Cuál es el objetivo?,consulta_general
Ponme en situación,descripcion_escena
Quiero hacerme una idea del lugar,descripcion_escena
Descríbeme toda la habitación,descripcion_escena
¿He pasado algo por alto?,consulta_general
Llévame a el barril,navegacion
¿Qué clase de lugar es este?,descripcion_escena
Descríbeme todo el entorno,descripcion_escena
Descríbeme la silla,detalle_objeto
"Más despacio, por favor",consulta_general
¿Qué ambiente tiene esta sala?,descripcion_escena
Cómo describirías este lugar,descripcion_escena
Dime la posición de la moneda,localizacion_objeto
¿Qué tamaño tiene el cuenco?,detalle_objeto
¿Qué tengo delante de mí?,objetos_cercanos
¿Hay algún pergamino cerca de mí?,objetos_cercanos
Dime hacia qué lado está el reloj,localizacion_objeto
Ayúdame a llegar a el escudo,navegacion
Guíame hasta la botella,navegacion
Dime la posición de el pergamino,localizacion_objeto
Quiero saber más sobre la poción,detalle_objeto
Háblame de la moneda,detalle_objeto
Dime qué tengo en mi radio inmediato,objetos_cercanos
¿Qué elementos tengo cerca?,objetos_cercanos
Acércame a el pergamino,navegacion
¿Qué textura tiene la ventana?,detalle_objeto
¿Cómo se ve la botella?,detalle_objeto
Previsión del tiempo,fuera_dominio
¿Qué se supone que tengo que hacer?,consulta_general
¿Debo recoger algo aquí?,consulta_general
Orientame hacia la palanca,navegacion
Pinta con palabras lo que ves,descripcion_escena
Necesito ir a el barril,navegacion
"Posición de la roca, por favor",localizacion_objeto
¿Qué tipo de estancia es este?,descripcion_escena
¿Qué textura tiene el botón rojo?,detalle_objeto
Muéstrame el camino a la lámpara,navegacion
¿Tengo pergamino al alcance?,objetos_cercanos
¿Puedes decirme dónde está el cristal?,localizacion_objeto
¿Hacia dónde queda el cuenco?,localizacion_objeto
Cuentame donde estoy,descripcion_escena
"Voy a la ventana, guíame",navegacion
¿Qué modelo de IA eres?,fuera_dominio
¿Qué tipo de lugar es este?,descripcion_escena
Hazme una descripción breve del lugar,descripcion_escena
¿A cuántos metros está la silla?,localizacion_objeto
¿Cómo se ve la antorcha?,detalle_objeto
¿Dónde está la caja de madera?,localizacion_objeto
Quiero saber más sobre la palanca,detalle_objeto
¿Qué objetos tengo cerca?,objetos_cercanos
¿Cuánto es 15% de 200?,fuera_dominio
Necesito ayuda,consulta_general
¿Qué detectas en la escena?,descripcion_escena
¿Qué palanca se puede accionar?,consulta_general
Cuéntame cómo es este lugar,descripcion_escena
Tradúceme esto al inglés,fuera_dominio
¿Hay alguna estantería cerca?,objetos_cercanos
Dime cómo es la sala,descripcion_escena
¿Es de día o de noche?,consulta_general
¿Qué hay junto a mí?,objetos_cercanos
Dime hacia qué lado está el cuenco,localizacion_objeto
¿Qué es un transformer?,fuera_dominio
Dame una visión de conjunto,descripcion_escena
"Voy a la roca, guíame",navegacion
Búscame un vuelo barato,fuera_dominio
Tengo hambre,fuera_dominio
¿En qué año estamos?,fuera_dominio
¿En qué tipo de sala estoy?,descripcion_escena
¿Cuál es la raíz cuadrada de 144?,fuera_dominio
¿Qué eres tú?,fuera_dominio
Quiero saber más sobre la caja de madera,detalle_objeto
¿Dónde puedo encontrar la caja de madera?,localizacion_objeto
Detalla la alfombra,detalle_objeto
¿Algo cerca?,objetos_cercanos
¿Qué forma tiene el mapa?,detalle_objeto
Háblame de la estantería,detalle_objeto
¿Tengo puerta cerca?,objetos_cercanos
Dime cómo es la espada en detalle,detalle_objeto
¿Hay algo detrás de mí?,objetos_cercanos
Sigue,fuera_dominio
"Descríbeme esta habitación, por favor",descripcion_escena
¿Dónde está Japón?,fuera_dominio
Resúmeme la escena en pocas frases,descripcion_escena
Cómo hago un bizcocho,fuera_dominio
¿Puedo abrir el cofre?,consulta_general
¿Me puedes localizar la moneda?,localizacion_objeto
¿Tengo escudo al alcance?,objetos_cercanos
¿Es grande o pequeño la llave?,detalle_objeto
¿Qué tamaño tiene el barril?,detalle_objeto
¿la estantería tiene algo especial?,detalle_objeto
Hay peligro?,consulta_general
¿Qué textura tiene el escudo?,detalle_objeto
Calcula cinco por seis,fuera_dominio
Necesito ir a el reloj,navegacion
Hey,fuera_dominio
Cuéntame cómo es este estancia,descripcion_escena
¿Cuánto me falta para llegar a el cristal?,localizacion_objeto
¿Hay algún vela cerca de mí?,objetos_cercanos
Pide una pizza a domicilio,fuera_dominio
Señálame dónde está la mesa,localizacion_objeto
Quiero saber más sobre la mesa,detalle_objeto
Quiero ir hacia el libro,navegacion
Llévame al principio,navegacion
Necesito saber dónde está la moneda,localizacion_objeto
¿Quién te programó?,fuera_dominio
Dirígeme a la caja de madera,navegacion
¿Es grande o pequeño la lámpara?,detalle_objeto
¿En qué dirección está la antorcha?,localizacion_objeto
Localiza la silla,localizacion_objeto
¿Qué tengo detrás de mí?,objetos_cercanos
Localiza la palanca,localizacion_objeto
¿Qué muebles tengo cerca?,objetos_cercanos
¿Cómo se activa el modo accesibilidad?,consulta_general
¿Dónde puedo encontrar el botón rojo?,localizacion_objeto
¿Puedo subir por las escaleras?,consulta_general
¿Puedo leer este libro?,consulta_general
Estoy triste,fuera_dominio
Descríbeme lo que rodea a mi personaje,descripcion_escena
¿el barril parece nuevo o viejo?,detalle_objeto
"Voy a la antorcha, guíame",navegacion
¿Tengo antorcha al alcance?,objetos_cercanos
¿La espada brilla o está oxidada?,detalle_objeto
¿Me puedes localizar la mesa?,localizacion_objeto
Recuérdame llamar a mi madre,fuera_dominio
Dime cómo es el cuenco en detalle,detalle_objeto
Quiero una descripción extensa del entorno,descripcion_escena
Cuéntame un chiste,fuera_dominio
Acércame a el cristal,navegacion
Bye,fuera_dominio
¿A qué distancia está la puerta?,localizacion_objeto
Cállate un momento,consulta_general
¿Puedo salir de esta sala?,consulta_general
Silencio,consulta_general
¿Hay algún estatua cerca de mí?,objetos_cercanos
Dame detalles sobre la caja de madera,detalle_objeto
Hazme una descripción global del lugar,descripcion_escena
¿Me puedes localizar la poción?,localizacion_objeto
Dime cómo llegar a la botella,navegacion
¿Tengo cofre cerca?,objetos_cercanos
Dime la posición de el escudo,localizacion_objeto
¿Puedo volver atrás?,consulta_general
¿Dónde se encuentra la vela?,localizacion_objeto
Indícame el camino hasta el pergamino,navegacion
¿Va a llover mañana?,fuera_dominio
Enséñame los controles,consulta_general
Muéstrame el camino a el cofre,navegacion
Guíame hasta el libro,navegacion
Detalla el cristal,detalle_objeto
Quiero ir hacia el botón rojo,navegacion
¿el cofre tiene algo especial?,detalle_objeto
¿Hay algo a mi derecha?,objetos_cercanos
¿Hay algún espada cerca de mí?,objetos_cercanos
¿Hay enemigos?,consulta_general
Quiero entender dónde estoy,descripcion_escena
Necesito ir a la moneda,navegacion
Quiero ir hacia la moneda,navegacion
¿Qué es la inteligencia artificial?,fuera_dominio
¿Me puedes localizar la espada?,localizacion_objeto
¿Es el tiempo real?,fuera_dominio
Señálame dónde está el cetro,localizacion_objeto
¿Hay alguna silla cerca?,objetos_cercanos
Cual es la capital de francia,fuera_dominio
¿Qué tipo de habitación es esta?,descripcion_escena
¿Qué hay en esta sala en general?,descripcion_escena
¿Qué está a poca distancia de mí?,objetos_cercanos
Ayúdame a llegar a la moneda,navegacion
Explícame cómo es la roca,detalle_objeto
¿Dónde se encuentra el mapa?,localizacion_objeto
¿A qué distancia está la llave?,localizacion_objeto
¿Qué capta la vista ahora mismo?,descripcion_escena
Gracias,fuera_dominio
¿Esta sala tiene secretos?,consulta_general
¿Cómo resuelvo esta parte?,consulta_general
¿A qué distancia está la mesa?,localizacion_objeto
¿Hay nivel de dificultad?,consulta_general
Date la vuelta,navegacion
Explícame cómo es la ventana,detalle_objeto
Nos vemos,fuera_dominio
Dame una idea general del lugar,descripcion_escena
Llévame a el cuadro,navegacion
¿Puedo retroceder?,consulta_general
Guíame hasta la vela,navegacion
¿Qué tengo delante como escena general?,descripcion_escena
Encuentra la poción,localizacion_objeto
¿Qué hay en mi proximidad?,objetos_cercanos
¿Qué opinas del amor?,fuera_dominio
Descríbeme el escudo con detalle,detalle_objeto
Guíame hasta el mapa,navegacion
Señálame dónde está la palanca,localizacion_objeto
Quiero saber más sobre la roca,detalle_objeto
Cuéntame qué se ve en la imagen,descripcion_escena
¿A cuántos metros está la palanca?,localizacion_objeto
¿Algún objeto pegado?,objetos_cercanos
¿Cuánto me falta para llegar a el escudo?,localizacion_objeto
¿Puedo salir por aquí?,consulta_general
Cuéntame cómo es este sitio,descripcion_escena
¿Hay alguna lógica en esta sala?,consulta_general
¿Se puede abrir esta puerta?,consulta_general
¿Qué tipo de sitio es este?,descripcion_escena
¿Cómo te encuentras?,fuera_dominio
Recomiendame una pelicula,fuera_dominio
¿Me puedes localizar la ventana?,localizacion_objeto
¿Qué tamaño tiene la espada?,detalle_objeto
Hazme reír,fuera_dominio
Dime cómo llegar a la palanca,navegacion
¿Esto es un puzzle?,consulta_general
¿En qué dirección está la botella?,localizacion_objeto
Dime cómo es el escudo en detalle,detalle_objeto
¿Cómo es esta sala?,descripcion_escena
¿Puedo subirme a algo?,consulta_general
Dime qué ves ahora mismo,descripcion_escena
Dame una descripción global de la escena,descripcion_escena
Adiós,fuera_dominio
¿Hacia dónde queda la llave?,localizacion_objeto
¿Qué tipos de ayuda ofreces?,consulta_general
Necesito ir a la espada,navegacion
Necesito ir a el cofre,navegacion
Donde estoy?,descripcion_escena
¿Qué forma tiene la estantería?,detalle_objeto
Dime si tengo algo al lado,objetos_cercanos
Dime el tiempo en Madrid,fuera_dominio
Dame un consejo para dormir,fuera_dominio
¿A cuántos metros está la poción?,localizacion_objeto
Descríbeme el cristal con detalle,detalle_objeto
¿A cuántos metros está el barril?,localizacion_objeto
¿Tengo misión activa?,consulta_general
Acércame a la estatua,navegacion
¿Qué forma tiene el pergamino?,detalle_objeto
Muéstrame el camino a el cuadro,navegacion
¿Tengo estatua al alcance?,objetos_cercanos
Hazme una descripción extensa del lugar,descripcion_escena
¿Tengo libro al alcance?,objetos_cercanos
Dame detalles sobre el escudo,detalle_objeto
¿El objeto se mueve?,consulta_general
Háblame de este escenario,descripcion_escena
Cuéntame cómo es la llave,detalle_objeto
Descríbeme el decorado,descripcion_escena
Dime cómo llegar a la lámpara,navegacion
Cuentame un chiste,fuera_dominio
¿Qué hay frente a mí pero muy cerca?,objetos_cercanos
¿Cómo es el escudo?,detalle_objeto
Descríbeme el pergamino con detalle,detalle_objeto
Dime dónde está la puerta,localizacion_objeto
Receta de pizza casera,fuera_dominio
¿Hay algún cristal cerca de mí?,objetos_cercanos
¿Qué está justo al lado mío?,objetos_cercanos
Quiero ir hacia la vela,navegacion
¿Hay trampas?,consulta_general
¿Esto es peligroso?,consulta_general
Dime cómo es la puerta en detalle,detalle_objeto
Dime la posición de la roca,localizacion_objeto
Noticias de deportes,fuera_dominio
Descríbeme este estancia,descripcion_escena
¿Qué puedes ver en este lugar?,descripcion_escena
Descríbeme este entorno,descripcion_escena
Cómo se hace una ensalada césar,fuera_dominio
¿De dónde viene ese ruido?,consulta_general
¿Tengo roca al alcance?,objetos_cercanos
¿En qué dirección está la caja de madera?,localizacion_objeto
Cuéntame cómo es la antorcha,detalle_objeto
¿Qué aspecto tiene la alfombra?,detalle_objeto
¿Tengo llave al alcance?,objetos_cercanos
¿A qué distancia está el cuadro?,localizacion_objeto
¿Qué tipo de sala es este?,descripcion_escena
Hazme una panorámica de la escena,descripcion_escena
Descríbeme el cofre,detalle_objeto
"Objetos cercanos, por favor",objetos_cercanos
¿Hay decoración cerca de mí?,objetos_cercanos
¿Qué tipo de habitación es este?,descripcion_escena
¿Dónde puedo encontrar el cuadro?,localizacion_objeto
Dime qué hay a mi izquierda,objetos_cercanos
¿Quién es el presidente de España?,fuera_dominio
¿Qué día es hoy?,fuera_dominio
¿Estoy atascado?,consulta_general
Cuéntame la escena de principio a fin,descripcion_escena
Dime los objetos próximos,objetos_cercanos
¿Tengo llave cerca?,objetos_cercanos
¿Qué opinas de la política actual?,fuera_dominio
¿De qué material es la botella?,detalle_objeto
¿Cómo se ve la lámpara?,detalle_objeto
Que hay aqui?,descripcion_escena
¿Hay algún sonido importante?,consulta_general
"Voy a el cetro, guíame",navegacion
¿Qué está pasando en el mundo?,fuera_dominio
¿Puedo saltar?,consulta_general
Dirígeme a la estantería,navegacion
Dime un libro interesante,fuera_dominio
Saludos,fuera_dominio
A ver qué pasa,fuera_dominio
¿Hay algún mesa cerca de mí?,objetos_cercanos
Dirígeme a el cuadro,navegacion
¿Qué cosas tengo cerca?,objetos_cercanos
¿Tengo roca cerca?,objetos_cercanos
Dime la posición de la antorcha,localizacion_objeto
¿el cristal parece nuevo o viejo?,detalle_objeto
¿Dónde está el Amazonas?,fuera_dominio
¿Está cerca el escudo?,localizacion_objeto
No sé,fuera_dominio
Dime qué percibes ahora mismo,descripcion_escena
¿Dónde puedo encontrar la silla?,localizacion_objeto
¿De qué material es la roca?,detalle_objeto
¿Qué aparece en la imagen?,descripcion_escena
Quiero saber qué tipo de sala es esta,descripcion_escena
¿Hay alguna barril cerca?,objetos_cercanos
¿Me puedes localizar el cetro?,localizacion_objeto
Llévame a la vela,navegacion
Pues eso,fuera_dominio
Cómo se dice hola en francés,fuera_dominio
Condúceme a la botella,navegacion
¿Quién escribió Don Quijote?,fuera_dominio
¿la roca parece nuevo o viejo?,detalle_objeto
Localiza el mapa,localizacion_objeto
¿Qué tal?,fuera_dominio
¿En qué año terminó la Segunda Guerra Mundial?,fuera_dominio
Recítame un poema,fuera_dominio
¿Dónde está la mesa?,localizacion_objeto
Muéstrame el camino a la roca,navegacion
¿El cofre está cerrado con llave?,consulta_general
¿Qué tengo a dos pasos de distancia?,objetos_cercanos
Acércame a el libro,navegacion
Dame detalles sobre el mapa,detalle_objeto
¿A qué distancia está el barril?,localizacion_objeto
Mmm,fuera_dominio
Colócame delante de la puerta,navegacion
¿Hay tiempo límite?,consulta_general
¿Qué comandos de voz aceptas?,consulta_general
Necesito saber dónde está el mapa,localizacion_objeto
¿Estoy en peligro?,consulta_general
Dime qué percibes a tu alrededor,descripcion_escena
Necesito saber dónde está el barril,localizacion_objeto
Sácame de aquí,navegacion
¿Puedes decirme dónde está el libro?,localizacion_objeto
¿Cómo uso la llave?,consulta_general
¿Qué tengo abajo?,objetos_cercanos
¿Hay algún libro cerca de mí?,objetos_cercanos
Descríbeme el cetro,detalle_objeto
¿Cómo llego a la poción?,navegacion
¿Qué textura tiene la caja de madera?,detalle_objeto
Comparte conmigo una descripción del lugar,descripcion_escena
¿En qué dirección está la poción?,localizacion_objeto
¿A cuántos metros está el cofre?,localizacion_objeto
¿Cuánto me falta para llegar a la estantería?,localizacion_objeto
Cuéntame una historia,fuera_dominio
Narra lo que estás viendo,descripcion_escena
¿Puedes decirme dónde está el escudo?,localizacion_objeto
Dime qué distingues ahora mismo,descripcion_escena
Dime dónde está el cetro,localizacion_objeto
¿Cuándo cayó el muro de Berlín?,fuera_dominio
¿Cómo cierro este menú?,consulta_general
Guíame hasta la lámpara,navegacion
Orientame hacia el cuenco,navegacion
¿Cuál es el aspecto general de la habitación?,descripcion_escena
¿Puedo subir la dificultad?,consulta_general
¿Cómo llego a el cristal?,navegacion
¿Voy por buen camino?,consulta_general
¿Hay algún roca cerca de mí?,objetos_cercanos
¿Me estoy perdiendo algún detalle?,consulta_general
¿En qué dirección está el barril?,localizacion_objeto
Quiero saber más sobre la silla,detalle_objeto
Encuentra el pergamino,localizacion_objeto
¿Qué pasa si pulso aquí?,consulta_general
¿Hay alguna lámpara cerca?,objetos_cercanos
¿Qué llevo encima?,consulta_general
Dime un trabalenguas,fuera_dominio
Dime cómo llegar a el botón rojo,navegacion
¿Hay muebles cerca de mí?,objetos_cercanos
¿Está cerca la botella?,localizacion_objeto
¿Voy a necesitar algún objeto especial?,consulta_general
¿Hay más niveles?,consulta_general
Necesito ir a la caja de madera,navegacion
¿Dónde se encuentra la antorcha?,localizacion_objeto
Indícame el camino hasta la roca,navegacion
"Voy a el reloj, guíame",navegacion
"Voy a la lámpara, guíame",navegacion
¿Dónde vives?,fuera_dominio
Llévame a la mesa,navegacion
¿Cómo te llamas?,fuera_dominio
¿Es un sitio seguro?,consulta_general
¿Puedo llamar a alguien?,consulta_general
¿Cómo cojo un objeto?,consulta_general
Descríbeme la caja de madera,detalle_objeto
¿Puedo usar el teclado?,consulta_general
¿Qué veo justo a mi lado?,objetos_cercanos
Dime cómo es la estatua en detalle,detalle_objeto
Dime qué hay a mi lado,objetos_cercanos
¿Qué ves en este lugar?,descripcion_escena
¿Tengo vela cerca?,objetos_cercanos
¿Hay algo a mi lado?,objetos_cercanos
¿Cuál es mi inventario?,consulta_general
Muéstrame el camino a la espada,navegacion
Ve hacia la luz,navegacion
¿Qué sigue después?,consulta_general
¿el escudo parece nuevo o viejo?,detalle_objeto
¿Qué interactuables tengo cerca?,objetos_cercanos
¿Hay alguna antorcha cerca?,objetos_cercanos
Quiero saber más sobre la ventana,detalle_objeto
¿Me puedes localizar el reloj?,localizacion_objeto
Explícame cómo es la moneda,detalle_objeto
Receta de paella,fuera_dominio
Indícame el camino hasta el reloj,navegacion
¿Dónde puedo encontrar la puerta?,localizacion_objeto
¿Tengo ventana al alcance?,objetos_cercanos
¿Puedo reiniciar la escena?,consulta_general
Cuéntame algo divertido,fuera_dominio
¿En qué dirección está el cofre?,localizacion_objeto
¿Dónde se encuentra la estantería?,localizacion_objeto
Dame una descripción resumida de la escena,descripcion_escena
Ponme algo de Beethoven,fuera_dominio
Dame detalles sobre el reloj,detalle_objeto
Necesito saber dónde está la roca,localizacion_objeto
Enciende la luz del salón,fuera_dominio
¿Hay pistas?,consulta_general
¿Puedo equiparme algo?,consulta_general
Necesito saber dónde está la palanca,localizacion_objeto
¿Cómo guardo la partida?,consulta_general
Descríbeme este lugar,descripcion_escena
¿Qué películas ganaron el Óscar este año?,fuera_dominio
¿Me puedes localizar el mapa?,localizacion_objeto
Cuéntame cómo es el lugar donde estoy,descripcion_escena
¿La ventana está a mi izquierda o a mi derecha?,localizacion_objeto
Dime qué hay arriba,objetos_cercanos
Quiero una descripción global del entorno,descripcion_escena
¿Qué forma tiene la vela?,detalle_objeto
¿Hay alguna estatua cerca?,objetos_cercanos
Sabes algún chiste bueno,fuera_dominio
Quiero ir hacia la puerta,navegacion
¿Hacia dónde queda la vela?,localizacion_objeto
Dime dónde está la caja de madera,localizacion_objeto
¿Cuáles son las noticias de hoy?,fuera_dominio
¿Qué tamaño tiene la estantería?,detalle_objeto
Acércame al fondo,navegacion
¿Hay alguna puerta cerca?,objetos_cercanos
¿Qué opciones tengo?,consulta_general
¿Cómo salgo del juego?,consulta_general
¿Qué textura tiene la roca?,detalle_objeto
¿Quién ganó la Champions este año?,fuera_dominio
¿Hay que resolver un enigma?,consulta_general
¿Tengo vida suficiente?,consulta_general
¿Qué clase de sitio es este?,descripcion_escena
¿Cuánta energía me queda?,consulta_general
Pon música en la cocina,fuera_dominio
¿Me estás escuchando?,consulta_general
¿Qué tengo a mano derecha cercano?,objetos_cercanos
¿Qué puedo usar ahora?,consulta_general
Encuentra la mesa,localizacion_objeto
Resuélveme una ecuación,fuera_dominio
Hola qué tal,fuera_dominio
¿A qué distancia está el cofre?,localizacion_objeto
¿Estás vivo?,fuera_dominio
¿Qué tamaño tiene el mapa?,detalle_objeto
¿Puedo cambiar de idioma?,consulta_general
¿Hay algún lámpara cerca de mí?,objetos_cercanos
¿Cuál es el sentido de la vida?,fuera_dominio
¿Puedo repetir esta sala?,consulta_general
Descríbeme este sala,descripcion_escena
Muéstrame el camino a la silla,navegacion
Lista lo que tengo cerca,objetos_cercanos
Ayúdame a llegar a la estatua,navegacion
Acércame a el escudo,navegacion
¿Cómo guardo un objeto?,consulta_general
¿Tengo puerta al alcance?,objetos_cercanos
¿Qué puedes ver en la escena?,descripcion_escena
¿Dónde está el libro?,localizacion_objeto
Dime cómo es la caja de madera en detalle,detalle_objeto
¿Qué es un número primo?,fuera_dominio
Dirígeme a la vela,navegacion
¿Hay algún poción cerca de mí?,objetos_cercanos
¿Qué clase de escenario es este?,descripcion_escena
Ayúdame a llegar a la estantería,navegacion
¿Cuánto me falta para llegar a la palanca?,localizacion_objeto
Camina despacio hacia delante,navegacion
¿Puedo coger algo?,consulta_general
¿Tengo silla cerca?,objetos_cercanos
Explícame cómo es la mesa,detalle_objeto
¿Qué tengo a mano izquierda cercano?,objetos_cercanos
¿Qué sabes hacer?,consulta_general
Quiero ir hacia la mesa,navegacion
¿Tengo cristal al alcance?,objetos_cercanos
Qué pasaaa,fuera_dominio
Quiero una descripción rápida del entorno,descripcion_escena
"Posición de la vela, por favor",localizacion_objeto
¿Con qué botón interactúo?,consulta_general
Encuentra el cetro,localizacion_objeto
