texto,categoria
"Llévame poco a poco hasta lo que mencionaste antes, por favor.",navegacion
"Me apetece que me cuentes una historia larga, inventada, con dragones, princesas y un final inesperado.",fuera_dominio
Dime dónde está la roca.,localizacion_objeto
"Necesito ir a eso de la izquierda, ¿me indicas cómo?",navegacion
¿Podrías describirme la hoguera como si yo no pudiera verlo?,detalle_objeto
Indícame las cosas accesibles desde aquí.,objetos_cercanos
¿Podrías decirme la localización del reloj?,localizacion_objeto
"Me gustaría saber qué tengo accesible sin tener que desplazarme, ¿podrías listarme las cosas cercanas, por favor?",objetos_cercanos
Dame una descripción minuciosa de eso de la izquierda.,detalle_objeto
Camino hasta el sofá.,navegacion
¿Cuáles son los objetos próximos a mí ahora mismo?,objetos_cercanos
Me gustaría conocer la posición exacta de la espada.,localizacion_objeto
¿Puedes guiarme hacia la botella?,navegacion
"Me gustaría que me dieras una descripción rica y completa de lo que mencionaste antes, sin escatimar en detalles visuales.",detalle_objeto
"Necesitaría llegar a la mesa, ¿me podrías dar indicaciones claras de cómo hacerlo?",navegacion
¿Hacia dónde tendría que mirar para ver la espada?,localizacion_objeto
"Cuéntame cómo es el lugar de forma general, lo justo para hacerme una idea.",descripcion_escena
Indícame el camino para llegar a la botella.,navegacion
"Si no es molestia, me gustaría que me indicases en qué dirección y a qué distancia queda la botella desde mi posición.",localizacion_objeto
"Mira, voy un poco perdido, necesito que me cuentes qué tipo de lugar es este antes de moverme a ningún sitio.",descripcion_escena
"Dame por favor un resumen de las posibilidades que tengo aquí, no sé muy bien qué se puede hacer y qué no.",fuera_dominio
¿Puedo guardar la partida?,fuera_dominio
"Dime qué clase de espacio es este, si es grande o pequeño, qué ambiente tiene.",descripcion_escena
"Antes de tomar una decisión, necesito saber cómo es eso de la derecha en detalle, ¿me lo describes?",detalle_objeto
Dirígeme a la hoguera.,navegacion
¿Cuándo es Navidad?,fuera_dominio
"Quería pedirte una descripción larga y detallada del cofre, sin prisa.",detalle_objeto
"Quiero saber el aspecto exacto de la hoguera, cuéntamelo.",detalle_objeto
Te pido por favor que me indiques cómo llegar al sofá con instrucciones bien claras.,navegacion
Objetos cercanos.,objetos_cercanos
Ir a la estantería.,navegacion
"Solo necesito saber qué objetos están cerca, sin detalles.",objetos_cercanos
"Acompáñame hasta la planta, indícame la dirección.",navegacion
Indícame qué objetos están en mi entorno inmediato.,objetos_cercanos
Léeme las noticias.,fuera_dominio
"No tengo claro dónde me has puesto, ¿me cuentas con detalle pero en general cómo es el sitio?",descripcion_escena
"Te pido por favor que me localices la puerta con precisión, lo necesito para orientarme.",localizacion_objeto
"Necesitaría saber, lo más preciso que puedas, la posición de eso de la derecha en el entorno donde me encuentro.",localizacion_objeto
¿De qué color es el cañón?,detalle_objeto
Dime cómo es la alfombra.,detalle_objeto
"Quería pedirte si fueras tan amable de describirme la escena en la que estoy inmerso, con calma y de manera narrativa.",descripcion_escena
"Necesito ir a la ventana, ¿me indicas cómo?",navegacion
"Me gustaría que me explicaras qué es la mecánica cuántica, en términos que un no físico pueda entender.",fuera_dominio
"Por favor, condúceme hasta la puerta, ve dándome indicaciones de qué hacer en cada momento.",navegacion
Eres un crack.,fuera_dominio
"Por favor, indícame la ubicación de lo que está ahí con precisión.",localizacion_objeto
"Indícame, si puedes, dónde está la silla en relación a mi posición.",localizacion_objeto
¿Qué se espera de mí?,fuera_dominio
"Llévame poco a poco hasta la palmera, por favor.",navegacion
"Sólo dime qué tengo a mano, no necesito más.",objetos_cercanos
Posición de la botella.,localizacion_objeto
"Si pudieras describir la botella como si fueras un perito tasador, te lo agradecería.",detalle_objeto
"Quiero saber qué tengo cerca, una enumeración rápida.",objetos_cercanos
"Si fueras tan amable de hacerme una descripción visual completa de la botella, te lo agradezco.",detalle_objeto
Recítame el alfabeto.,fuera_dominio
Dame una panorámica.,descripcion_escena
"Hazme una descripción exhaustiva de ese item, por favor, tómate tu tiempo si hace falta.",detalle_objeto
"Sólo dime los nombres de los objetos cercanos, sin describirlos, por favor.",objetos_cercanos
Indícame dónde está situado el libro en la escena.,localizacion_objeto
¿Cuál es la capital de Francia?,fuera_dominio
Necesito que me lleves a la posición del barril.,navegacion
¿Cómo es la caja?,detalle_objeto
"Dime la posición de ese objeto, necesito orientarme.",localizacion_objeto
"Si no te importa, ¿podrías describirme con bastante detalle cómo es la puerta? Estoy intentando hacerme una imagen mental clara.",detalle_objeto
"Hazme una descripción detallada de la estantería, por favor.",detalle_objeto
"Háblame del aspecto, color y forma de la palmera, por favor.",detalle_objeto
¿Qué tal está hoy el mercado de valores?,fuera_dominio
Dime las cosas próximas a mi posición.,objetos_cercanos
"Necesito una lista breve de lo que tengo en mi proximidad inmediata, gracias.",objetos_cercanos
"Necesito saber qué tengo cerca, una lista corta basta.",objetos_cercanos
"Por favor, dame las instrucciones de navegación hasta la roca, con calma y detalle.",navegacion
"Si tuvieras que resumir la escena en dos frases, ¿cómo lo harías?",descripcion_escena
"Por favor, llévame con cuidado hasta la planta, indicando cada giro y cada paso si hace falta.",navegacion
Llévame a la alfombra.,navegacion
Necesito orientarme: ¿puedes describirme lo que ves en general?,descripcion_escena
"Necesito ir a la planta, ¿me indicas cómo?",navegacion
Necesito que me lleves a la posición de la roca.,navegacion
Indícame los elementos que están a mi vera.,objetos_cercanos
Cuéntame qué tipo de espacio es y cómo está organizado.,descripcion_escena
Dime qué tengo al alcance.,objetos_cercanos
Describe el libro.,detalle_objeto
¿Qué tipo de escena tengo delante? Hazme una descripción.,descripcion_escena
¿Y ahora qué?,fuera_dominio
"Antes de pensar a dónde voy, necesito saber qué tengo cerca, ¿podrías hacerme una lista rápida?",objetos_cercanos
¿Dónde se encuentra eso de la izquierda?,localizacion_objeto
Cómo voy a la caja.,navegacion
"Por favor, indícame qué tengo a mi alrededor inmediato.",objetos_cercanos
"A ver, llévame hasta el barril pero con tranquilidad, indícame cada movimiento.",navegacion
"Lista rápida de lo próximo, gracias.",objetos_cercanos
¿Qué hay junto a mí?,objetos_cercanos
¿Cómo funcionan los controles?,fuera_dominio
¿En qué estado está lo que mencionaste antes? Descríbemelo.,detalle_objeto
¿Cuál es la diferencia entre Python y JavaScript?,fuera_dominio
"Quiero un retrato detallado de la hoguera, descríbemelo.",detalle_objeto
"Por favor, descríbeme el escenario en términos amplios.",descripcion_escena
"Estoy un poco desorientado, ¿podrías decirme dónde se encuentra la botella con respecto a mi posición actual?",localizacion_objeto
"Detállame el lugar, sin entrar en cada objeto concreto.",descripcion_escena
"Cuéntame cómo es la palmera con detalle, no me importa que sea largo.",detalle_objeto
"Necesito orientarme respecto a ese item, ¿me indicas su localización con la mayor precisión posible?",localizacion_objeto
Guíame hasta la botella.,navegacion
¿Me puedes describir el lugar en el que estoy ahora mismo?,descripcion_escena
Dime las cosas que están junto a mí ahora.,objetos_cercanos
¿Cómo puedo llegar a la mesa desde donde estoy?,navegacion
¿Qué objetos están en mi proximidad?,objetos_cercanos
"A ver, cuéntame, ¿cuál crees que es el mejor sistema operativo para programar, Linux, Windows o Mac, y por qué?",fuera_dominio
"Quiero saber qué pinta tiene el sofá, descríbemelo.",detalle_objeto
Dime qué clase de lugar es este y qué destaca a primera vista.,descripcion_escena
"Quiero saber dónde se halla lo que tengo delante, por favor.",localizacion_objeto
"Imagina que tengo que dibujar la ventana sin verlo, ¿cómo me lo describirías para que pueda hacerlo?",detalle_objeto
Camino hasta ese elemento.,navegacion
"Tengo interés en saber la posición exacta de lo que hay enfrente en relación al entorno, ¿podrías indicármela?",localizacion_objeto
Necesito que me hables del aspecto físico del cañón.,detalle_objeto
¿Cómo es la mesa?,detalle_objeto
Guíame hasta el cuadro.,navegacion
"Si pudieras decirme en qué dirección está el barril desde mi posición, me harías un favor enorme.",localizacion_objeto
Dame una primera impresión del entorno.,descripcion_escena
Dime qué hay aquí.,descripcion_escena
Cómo voy a la silla.,navegacion
"Llévame poco a poco hasta la hoguera, por favor.",navegacion
"Por favor, dime qué cosas hay a mi alrededor en este momento.",objetos_cercanos
"Lista los objetos a mi alrededor, en un radio cercano.",objetos_cercanos
Dime dónde está la hoguera.,localizacion_objeto
"Cuéntame cómo es lo que hay enfrente con detalle, no me importa que sea largo.",detalle_objeto
Es la primera vez que estoy aquí y me gustaría que me orientaras describiéndome cómo es el lugar a nivel general.,descripcion_escena
Guíame hasta la palmera.,navegacion
Camino hasta la alfombra.,navegacion
¿Cómo describirías lo que hay enfrente? Quiero hacerme una idea precisa.,detalle_objeto
¿Cómo se ve la palmera?,detalle_objeto
¿En qué parte del entorno está la botella?,localizacion_objeto
"Descripción general, por favor.",descripcion_escena
Necesito un listado breve de lo cercano.,objetos_cercanos
¿Qué es este lugar?,descripcion_escena
"Mira, llevo un par de minutos aquí y todavía no tengo claro cómo es este sitio, ¿me lo describes en general?",descripcion_escena
"Llévame poco a poco hasta el reloj, por favor.",navegacion
Ir a la espada.,navegacion
"Necesito moverme hacia la caja, indícame con claridad cómo proceder.",navegacion
A ver si me puedes ayudar a decidir: ¿qué cosas tengo cerca y a las que podría llegar sin esfuerzo?,objetos_cercanos
Cuéntame qué ves.,descripcion_escena
¿Qué hago aquí?,fuera_dominio
Necesito que me digas dónde está la ventana en el escenario.,localizacion_objeto
Encuentra la estantería.,localizacion_objeto
"Quiero saber dónde se halla lo que está ahí, por favor.",localizacion_objeto
Dime qué hay a mi vera.,objetos_cercanos
Cuéntame qué hay cerca.,objetos_cercanos
Dame una pista de lo que tengo que hacer ahora.,fuera_dominio
"Por favor, qué objetos tengo a un par de pasos.",objetos_cercanos
Detalla ese objeto.,detalle_objeto
"Si no es molestia, me vendría bien que me describieras la escena entera para hacerme una composición mental.",descripcion_escena
Ir a la silla.,navegacion
"Quería pedirte que me llevaras a la lámpara, indicándome con precisión hacia dónde tengo que ir.",navegacion
"A ver, te explico: necesito saber dónde está la alfombra para poder decidir hacia dónde me muevo.",localizacion_objeto
"Por favor, dame una descripción rica y detallada de la espada.",detalle_objeto
Buenos días.,fuera_dominio
¿Qué tengo en mi entorno inmediato?,objetos_cercanos
Me caes bien.,fuera_dominio
Dime dónde está la lámpara.,localizacion_objeto
Háblame de Napoleón.,fuera_dominio
Dame una descripción minuciosa de lo que hay enfrente.,detalle_objeto
¿Cómo se juega?,fuera_dominio
¿Qué botones puedo pulsar?,fuera_dominio
"Quería preguntarte si me puedes describir la roca a fondo, todos los detalles que captes.",detalle_objeto
"Perdona, ¿podrías hacerme una descripción completa de la escena para que pueda imaginarme bien el entorno?",descripcion_escena
Dime cómo es lo que tengo delante.,detalle_objeto
"Quiero saber cómo es la escena en general, no me importan los detalles.",descripcion_escena
Me gustaría conocer la posición exacta de ese item.,localizacion_objeto
"Por favor, cuéntame qué tipo de escenario es este y dame una visión amplia antes de que me ponga a moverme.",descripcion_escena
"Por favor, dime cómo es el sitio donde me encuentro.",descripcion_escena
Dame las noticias del día.,fuera_dominio
"No tengo claro qué se supone que tengo que hacer ahora, ¿me lo explicas?",fuera_dominio
¿Qué hora es?,fuera_dominio
"Me ayudaría empezar con una descripción general del entorno, ¿la haces?",descripcion_escena
¿Qué hay junto a mí en este momento?,objetos_cercanos
¿Hacia dónde tengo que ir para llegar a la botella?,navegacion
Localiza el cuadro.,localizacion_objeto
¿Me he atascado?,fuera_dominio
"Por favor, ponme en situación describiendo el libro con riqueza de detalles.",detalle_objeto
¿Cómo describirías la lámpara? Quiero hacerme una idea precisa.,detalle_objeto
"Quería preguntarte por las opciones de accesibilidad de este sistema, ¿hay algún modo especial para personas ciegas?",fuera_dominio
"Eh, antes de avanzar, ¿qué objetos tengo cerca de mí ahora mismo? Solo dime los nombres, sin descripciones.",objetos_cercanos
¿Qué tengo en mi proximidad inmediata?,objetos_cercanos
"Por favor, indícame la ubicación de lo que mencionaste antes con precisión.",localizacion_objeto
¿Hacia dónde tendría que mirar para ver la lámpara?,localizacion_objeto
Enuméralo cercano.,objetos_cercanos
¿Cómo se ve la palmera?,detalle_objeto
Necesito saber si puedo cambiar la voz del asistente o el idioma en el que me hablas.,fuera_dominio
¿Qué tengo en mis inmediaciones ahora mismo?,objetos_cercanos
"Dime los objetos cercanos a mi posición, sin detalles, solo nombres por favor.",objetos_cercanos
¿Podrías describirme la mesa como si yo no pudiera verlo?,detalle_objeto
¿Qué aspecto tiene el cuadro?,detalle_objeto
"Detállame el color, la forma y el material de la ventana.",detalle_objeto
"Antes de seguir, ¿me dices dónde está el espejo? Es lo primero que necesito saber ahora mismo.",localizacion_objeto
"Hazme una descripción detallada del cuadro, por favor.",detalle_objeto
Reiniciar.,fuera_dominio
¿Puedes localizar la puerta?,localizacion_objeto
Gracias.,fuera_dominio
¿Hacia dónde tengo que ir para llegar a la caja?,navegacion
¿Me puedes detallar el aspecto y características de la hoguera?,detalle_objeto
"Por favor, dime en qué dirección queda eso de la izquierda desde donde estoy.",localizacion_objeto
"Quería preguntarte por la historia de la música clásica, desde Bach hasta Beethoven, en líneas generales.",fuera_dominio
"Quiero saber el aspecto exacto del libro, cuéntamelo.",detalle_objeto
"Para tomar una decisión, me ayudaría saber qué tengo cerca, ¿me lo enumeras?",objetos_cercanos
"Detállame el color, la forma y el material de ese objeto.",detalle_objeto
"Si no es molestia, explícame cómo se calcula el IRPF en España, porque siempre me lío con eso.",fuera_dominio
Necesito que me cuentes el aspecto general del lugar.,descripcion_escena
¿Qué hay a mi alrededor que merezca la pena mencionar?,objetos_cercanos
"Mira, llevo un rato perdido, ¿me puedes guiar hasta la alfombra con calma y detalle?",navegacion
¿Qué objetos están en mi entorno próximo?,objetos_cercanos
¿Tienes nombre?,fuera_dominio
¿Cómo es la alfombra?,detalle_objeto
Cuéntame el entorno.,descripcion_escena
¿Qué puedo hacer?,fuera_dominio
Cuéntame las últimas noticias de tecnología.,fuera_dominio
¿Qué se espera que haga en este punto de la experiencia?,fuera_dominio
Recítame un poema.,fuera_dominio
Dame los nombres de los objetos cercanos.,objetos_cercanos
¿Cuánto es 2+2?,fuera_dominio
"Resume la escena en términos amplios, sin entrar en detalles concretos.",descripcion_escena
¿Qué tengo que conseguir?,fuera_dominio
¿Qué tengo aquí?,objetos_cercanos
"Tengo que llegar a eso de la izquierda, pero antes necesito saber dónde está exactamente, ¿me lo puedes indicar?",localizacion_objeto
"Tengo interés especial en el barril, ¿podrías describírmelo con todo el detalle que puedas?",detalle_objeto
"Cuéntame algo curioso sobre los pulpos, por favor.",fuera_dominio
Hazme una descripción visual concreta de lo que hay enfrente.,detalle_objeto
Me gustaría conocer la posición exacta de esa cosa.,localizacion_objeto
"Quería pedirte que me hicieras una descripción global de la escena, porque me cuesta hacerme una idea.",descripcion_escena
Camino hasta la palmera.,navegacion
"Dime qué tipo de escenario tengo a mi alrededor, en términos generales.",descripcion_escena
Salir del juego.,fuera_dominio
Encuentra el reloj.,localizacion_objeto
¿Cuánto me queda?,fuera_dominio
Necesito un listado de lo que tengo al lado.,objetos_cercanos
"Por favor, sin tener que moverme, dime qué objetos tengo en mi entorno inmediato.",objetos_cercanos
A ver si me puedes ayudar: ¿cómo describirías esto a alguien que entra por primera vez y no puede ver?,descripcion_escena
¿Podrías indicarme la ruta hasta la palmera?,navegacion
Cuéntame el aspecto general de este sitio.,descripcion_escena
"Antes de moverme, quería saber qué cosas tengo aquí mismo, ¿me las dices?",objetos_cercanos
"Quiero localizar eso de la derecha, ¿en qué dirección está?",localizacion_objeto
¿Qué viene después?,fuera_dominio
¿Qué impresión general tendría alguien al ver este escenario?,descripcion_escena
Posición de eso de la izquierda.,localizacion_objeto
Encuentra lo que hay enfrente.,localizacion_objeto
Describe el cañón.,detalle_objeto
Marca el camino para que llegue a lo que mencionaste antes.,navegacion
"Hola, ¿qué tal?",fuera_dominio
¿Hacia dónde tendría que mirar para ver la planta?,localizacion_objeto
"A ver, dime, ¿cuál es la mejor manera de empezar a aprender a programar siendo principiante absoluto?",fuera_dominio
¿Puedes localizar el sofá?,localizacion_objeto
"Quiero localizar la mesa, ¿en qué dirección está?",localizacion_objeto
"Para hacerme una idea de mis opciones, ¿podrías decirme qué objetos tengo a mi alrededor en un radio corto?",objetos_cercanos
Descríbeme la palmera.,detalle_objeto
"Llévame poco a poco hasta el cuadro, por favor.",navegacion
Acércame a la silla.,navegacion
"Por favor, sin moverme y sin describirme el objeto, dime únicamente dónde está lo que está ahí.",localizacion_objeto
Reproduce música.,fuera_dominio
Descríbeme la atmósfera y los elementos principales del escenario.,descripcion_escena
¿Hay alguna misión concreta que tenga que cumplir?,fuera_dominio
Guíame hasta la silla.,navegacion
Ubicación del cuadro.,localizacion_objeto
Cuéntame qué tipo de lugar es y qué ambiente tiene.,descripcion_escena
Necesito que me digas dónde está el cañón en el escenario.,localizacion_objeto
Quería preguntarte si hay alguna misión o tarea concreta que deba cumplir o si simplemente puedo explorar libremente.,fuera_dominio
Descríbeme la sala o el espacio en el que me encuentro.,descripcion_escena
Cuéntame lo que tengo a la mano sin tener que desplazarme.,objetos_cercanos
Indica qué objetos están en mi entorno cercano.,objetos_cercanos
Condúceme a ese elemento.,navegacion
"Quiero acercarme a la alfombra, ¿me guías?",navegacion
"Por favor, narra lo que ves a mi alrededor.",descripcion_escena
¿Puedes localizar lo que tengo delante?,localizacion_objeto
¿Puedes describirme lo que hay en la escena sin centrarte en ningún objeto en particular?,descripcion_escena
Pídeme un Uber.,fuera_dominio
Necesito que me hables del aspecto físico de la mesa.,detalle_objeto
Necesito que me lleves a la posición del barril.,navegacion
Ubicación de eso de la derecha.,localizacion_objeto
"¿Me harías una descripción amplia de la escena, por favor?",descripcion_escena
"Por favor, enumera lo accesible desde mi sitio.",objetos_cercanos
"Indícame, si puedes, dónde está la estantería en relación a mi posición.",localizacion_objeto
¿En qué parte del entorno está la caja?,localizacion_objeto
Hola.,fuera_dominio
Encuentra el barril.,localizacion_objeto
¿En qué parte del entorno está la roca?,localizacion_objeto
"Háblame de la Segunda Guerra Mundial, por favor.",fuera_dominio
"A ver, descríbeme la hoguera bien, color, tamaño, forma, lo que sea relevante para entender cómo es.",detalle_objeto
"Si me dieras instrucciones paso a paso para llegar a la espada, me harías un gran favor.",navegacion
"Si pudieras guiarme con instrucciones tipo 'gira a la derecha, da tres pasos', llegaría a la palmera mucho más fácil.",navegacion
"Necesito saber cómo es la lámpara exactamente, descríbemelo.",detalle_objeto
"¿Qué hay alrededor de mí, en un radio corto?",objetos_cercanos
Dime cómo es el cuadro.,detalle_objeto
"Necesito tu ayuda para llegar al reloj, ¿podrías guiarme con instrucciones claras?",navegacion
Dime objetos próximos.,objetos_cercanos
"Quiero saber qué pinta tiene el reloj, descríbemelo.",detalle_objeto
¿Cómo llego al reloj?,navegacion
"Por favor, dime en qué dirección queda la mesa desde donde estoy.",localizacion_objeto
¿Qué hay a mano?,objetos_cercanos
¿Qué se supone que haga?,fuera_dominio
"Llevo un rato intentando llegar al reloj y no acabo de orientarme, ¿podrías guiarme con instrucciones precisas?",navegacion
Localiza la silla.,localizacion_objeto
"Quiero desplazarme hasta el libro, ¿me ayudas?",navegacion
Cosas próximas.,objetos_cercanos
¿Quién es el presidente de EE.UU.?,fuera_dominio
Localiza el cofre.,localizacion_objeto
"Necesitaría que me describas con bastante profundidad cómo es el libro, todos los detalles que se aprecien me valen.",detalle_objeto
"Me gustaría saber, con cierta precisión, en qué parte del entorno se encuentra el sofá.",localizacion_objeto
"Para no perder más tiempo, ¿puedes decirme directamente dónde está el sofá?",localizacion_objeto
¿Puedes guiarme hacia la estantería?,navegacion
¿Qué aspecto tiene el barril?,detalle_objeto
¿Qué tareas tengo pendientes en esta escena?,fuera_dominio
Buenas tardes.,fuera_dominio
"Necesito orientarme rápido: ¿qué tengo a mano, cerca de mi posición actual?",objetos_cercanos
¿Hay algo interesante cerca de mí ahora mismo?,objetos_cercanos
"Para orientarme rápido, ¿me listas las cosas más cercanas a mi posición?",objetos_cercanos
¿Puedo subir el volumen?,fuera_dominio
"Por favor, dame instrucciones claras sobre cómo proceder en este momento, porque me he quedado un poco bloqueado.",fuera_dominio
"Por favor, indícame con claridad cómo llegar a lo que hay enfrente, dime hacia dónde girar, cuántos pasos dar, todo lo que haga falta.",navegacion
Indícame dónde está situado ese item en la escena.,localizacion_objeto
¿En qué estado está lo que tengo delante? Descríbemelo.,detalle_objeto
¿En qué parte del entorno está la lámpara?,localizacion_objeto
"Cuéntamelo todo sobre el aspecto del cañón, hasta los detalles más pequeños.",detalle_objeto
"Hazme una descripción detallada de la planta, por favor.",detalle_objeto
"Quiero saber dónde se halla el espejo, por favor.",localizacion_objeto
Quiero ir a eso de la izquierda.,navegacion
¿Cuál es el mejor método para aprender un idioma?,fuera_dominio
¿Me puedes explicar qué estoy viendo en términos generales?,descripcion_escena
¿Hacia dónde tengo que ir para llegar a la hoguera?,navegacion
"Quiero acercarme a la ventana pero necesito tu ayuda para orientarme, ¿me guías?",navegacion
"Si no te importa, ¿me podrías explicar las reglas básicas de esta experiencia, qué se puede hacer y qué no?",fuera_dominio
Busca lo que está ahí.,localizacion_objeto
"Antes de moverme, quería preguntarte por la ubicación de la ventana, ¿podrías decirme dónde está exactamente?",localizacion_objeto
Dame una pista.,fuera_dominio
"Quiero saber qué pinta tiene lo que mencionaste antes, descríbemelo.",detalle_objeto
Necesito que me hables del aspecto físico de la estantería.,detalle_objeto
